gid | name | spins | hist_list | hist_view | status | path | blocker | screenshot
56 | Crazy-Piggy | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/56-Crazy-Piggy/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/56-spins2.jpg
57 | Crazy-777 | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/57-Crazy-777/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/57-spins2.jpg
58 | Crazy-Gems | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/58-Crazy-Gems/spin | None | None
60 | Crazy-Birds | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/60-Crazy-Birds/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/60-spins2.jpg
61 | Saci | 17 | True | True | ok | /Volumes/hd/cpgame/fixtures/61-Saci/spin | None | None
1050 | Fortune-Panda | 3 | False | False | ok | /Volumes/hd/cpgame/fixtures/1050-Fortune-Panda/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/1050-spins2.jpg
1090 | Sharpshooter | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/1090-Sharpshooter/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/1090-spins2.jpg
1380 | Hidden-Realm | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/1380-Hidden-Realm/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/1380-spins2.jpg
1400 | Blessing-of-Ice-and-Fire | 1 | False | False | ok | /Volumes/hd/cpgame/fixtures/1400-Blessing-of-Ice-and-Fire/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/1400-spins2.jpg
1580 | Maya-Treasure | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/1580-Maya-Treasure/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/1580-spins2.jpg
1670 | Christmas-Gift | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/1670-Christmas-Gift/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/1670-spins2.jpg
1780 | Glacier-Treasure | 1 | False | False | ok | /Volumes/hd/cpgame/fixtures/1780-Glacier-Treasure/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/1780-spins2.jpg
1810 | Treasure-Hunt | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/1810-Treasure-Hunt/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/1810-spins2.jpg
1830 | Hotpot | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/1830-Hotpot/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/1830-spins2.jpg
1910 | Churrasco | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/1910-Churrasco/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/1910-spins2.jpg
1940 | Beach-Fun | 1 | False | False | ok | /Volumes/hd/cpgame/fixtures/1940-Beach-Fun/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/1940-spins2.jpg
1990 | Magic-Scroll | 1 | False | False | ok | /Volumes/hd/cpgame/fixtures/1990-Magic-Scroll/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/1990-spins2.jpg
2010 | EDM-Mania | 1 | False | False | ok | /Volumes/hd/cpgame/fixtures/2010-EDM-Mania/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/2010-spins2.jpg
2060 | Club-Goddess | 1 | False | False | ok | /Volumes/hd/cpgame/fixtures/2060-Club-Goddess/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/2060-spins2.jpg
2110 | Bee-Workshop | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/2110-Bee-Workshop/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/2110-spins2.jpg
2130 | Farm-Town | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/2130-Farm-Town/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/2130-spins2.jpg
2210 | Wu-Kong | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/2210-Wu-Kong/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/2210-spins2.jpg
2220 | Halloween-Meow | 1 | False | False | ok | /Volumes/hd/cpgame/fixtures/2220-Halloween-Meow/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/2220-spins2.jpg
2240 | Sunshine-Coast | 1 | False | False | ok | /Volumes/hd/cpgame/fixtures/2240-Sunshine-Coast/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/2240-spins2.jpg
2290 | Samba-Sensation | 1 | False | False | ok | /Volumes/hd/cpgame/fixtures/2290-Samba-Sensation/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/2290-spins2.jpg
2300 | Monster-Slayer | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/2300-Monster-Slayer/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/2300-spins2.jpg
2350 | Curupira | 4 | False | False | ok | /Volumes/hd/cpgame/fixtures/2350-Curupira/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/2350-spins2.jpg
2410 | Electro-Fiesta | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/2410-Electro-Fiesta/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/2410-spins2.jpg
2470 | Lucky-Night-Market | 2 | False | False | ok | /Volumes/hd/cpgame/fixtures/2470-Lucky-Night-Market/spin | None | /Users/a1/Downloads/cp-capture-abc222-work/pilot-run/2470-spins2.jpg
