# entry|column|replacementLength|symbols|observedCount
BASE_REFILL|0|4|H3,H2,H3,T|1
BASE_REFILL|0|4|H3,H5,X4,H3|2
BASE_REFILL|0|4|H4,Q,Q,H4|2
BASE_REFILL|0|4|H4,Q,T,H2|1
BASE_REFILL|0|4|H4,T,H4,H1|1
BASE_REFILL|0|4|H5,A,T,A|1
BASE_REFILL|0|4|H5,H1,H1,H2|1
BASE_REFILL|0|4|H5,H4,H1,H1|1
BASE_REFILL|0|4|H5,H5,J,H3|1
BASE_REFILL|0|4|H5,J,H5,K|1
BASE_REFILL|0|4|J,A,J,A|1
BASE_REFILL|0|4|J,H4,T,T|1
BASE_REFILL|0|4|J,H5,H4,T|2
BASE_REFILL|0|4|J,Q,J,H2|1
BASE_REFILL|0|4|K,A,K,J|1
BASE_REFILL|0|4|K,H5,H1,K|1
BASE_REFILL|0|4|K,T,H3,A|1
BASE_REFILL|0|4|Q,H2,H2,K|1
BASE_REFILL|0|4|Q,H3,A,Q|1
BASE_REFILL|0|4|Q,H3,H1,H3|1
BASE_REFILL|0|4|Q,H3,T,Q|1
BASE_REFILL|0|4|Q,H3,X2,K|1
BASE_REFILL|0|4|Q,H4,H5,Q|1
BASE_REFILL|0|4|Q,K,H1,X4|1
BASE_REFILL|0|4|Q,Q,H2,T|1
BASE_REFILL|0|4|Q,X3,J,H2|1
BASE_REFILL|0|4|T,T,H1,Q|1
BASE_REFILL|0|4|T,X2,H3,H2|2
BASE_REFILL|0|4|X2,K,J,H5|1
BASE_REFILL|0|4|X4,H4,J,H3|1
BASE_REFILL|0|4|X4,H5,A,K|1
BASE_REFILL|0|5|A,Q,T,A,H2|1
BASE_REFILL|0|5|H1,A,A,H2,H1|1
BASE_REFILL|0|5|H2,H4,Q,H1,H5|1
BASE_REFILL|0|5|H2,Q,J,H3,T|2
BASE_REFILL|0|5|H3,H3,A,A,H5|1
BASE_REFILL|0|5|J,H1,J,H2,K|1
BASE_REFILL|0|5|J,H4,K,H1,K|1
BASE_REFILL|0|5|J,J,A,J,Q|1
BASE_REFILL|0|5|K,A,H5,Q,Q|1
BASE_REFILL|0|5|Q,Q,H5,J,J|1
BASE_REFILL|0|5|T,H1,J,H4,Q|1
BASE_REFILL|0|5|X4,H5,J,Q,H2|1
BASE_REFILL|0|6|H4,H5,H4,J,A,K|1
BASE_REFILL|0|6|H4,T,H2,Q,X3,J|1
BASE_REFILL|0|6|H5,A,H5,T,K,T|1
BASE_REFILL|0|6|H5,H5,A,J,A,H1|1
BASE_REFILL|0|6|Q,J,H2,H5,X4,T|2
BASE_REFILL|0|6|Q,Q,H2,H5,H1,H5|1
BASE_REFILL|0|6|T,H3,H5,J,Q,H4|1
BASE_REFILL|1|1|A|26
BASE_REFILL|1|1|H1|34
BASE_REFILL|1|1|H2|37
BASE_REFILL|1|1|H3|27
BASE_REFILL|1|1|H4|22
BASE_REFILL|1|1|H5|26
BASE_REFILL|1|1|J|25
BASE_REFILL|1|1|K|23
BASE_REFILL|1|1|Q|23
BASE_REFILL|1|1|Scat|4
BASE_REFILL|1|1|T|27
BASE_REFILL|1|1|X3|4
BASE_REFILL|1|2|A,A|2
BASE_REFILL|1|2|A,H1|4
BASE_REFILL|1|2|A,H2|3
BASE_REFILL|1|2|A,H4|4
BASE_REFILL|1|2|A,H5|1
BASE_REFILL|1|2|A,J|3
BASE_REFILL|1|2|A,K|4
BASE_REFILL|1|2|A,Q|1
BASE_REFILL|1|2|A,T|4
BASE_REFILL|1|2|H1,A|1
BASE_REFILL|1|2|H1,H1|3
BASE_REFILL|1|2|H1,H4|1
BASE_REFILL|1|2|H1,H5|3
BASE_REFILL|1|2|H1,J|4
BASE_REFILL|1|2|H1,K|2
BASE_REFILL|1|2|H1,X3|1
BASE_REFILL|1|2|H1,X4|1
BASE_REFILL|1|2|H2,H1|2
BASE_REFILL|1|2|H2,H2|4
BASE_REFILL|1|2|H2,H4|2
BASE_REFILL|1|2|H2,H5|1
BASE_REFILL|1|2|H2,K|3
BASE_REFILL|1|2|H2,Q|4
BASE_REFILL|1|2|H2,T|1
BASE_REFILL|1|2|H2,X2|1
BASE_REFILL|1|2|H3,A|1
BASE_REFILL|1|2|H3,H1|1
BASE_REFILL|1|2|H3,H3|5
BASE_REFILL|1|2|H3,H4|2
BASE_REFILL|1|2|H3,H5|1
BASE_REFILL|1|2|H3,K|1
BASE_REFILL|1|2|H3,Q|3
BASE_REFILL|1|2|H3,T|2
BASE_REFILL|1|2|H3,X3|1
BASE_REFILL|1|2|H3,X4|1
BASE_REFILL|1|2|H4,A|3
BASE_REFILL|1|2|H4,H1|2
BASE_REFILL|1|2|H4,H2|4
BASE_REFILL|1|2|H4,H3|2
BASE_REFILL|1|2|H4,H4|3
BASE_REFILL|1|2|H4,H5|2
BASE_REFILL|1|2|H4,J|1
BASE_REFILL|1|2|H4,K|3
BASE_REFILL|1|2|H4,Q|2
BASE_REFILL|1|2|H4,T|2
BASE_REFILL|1|2|H5,A|2
BASE_REFILL|1|2|H5,H3|2
BASE_REFILL|1|2|H5,H4|3
BASE_REFILL|1|2|H5,H5|2
BASE_REFILL|1|2|H5,J|2
BASE_REFILL|1|2|H5,K|1
BASE_REFILL|1|2|H5,Q|2
BASE_REFILL|1|2|H5,X3|1
BASE_REFILL|1|2|H5,X4|1
BASE_REFILL|1|2|J,A|2
BASE_REFILL|1|2|J,H1|3
BASE_REFILL|1|2|J,H2|2
BASE_REFILL|1|2|J,H3|1
BASE_REFILL|1|2|J,H4|1
BASE_REFILL|1|2|J,H5|1
BASE_REFILL|1|2|J,J|2
BASE_REFILL|1|2|J,K|5
BASE_REFILL|1|2|J,T|1
BASE_REFILL|1|2|K,A|2
BASE_REFILL|1|2|K,H1|1
BASE_REFILL|1|2|K,H2|3
BASE_REFILL|1|2|K,H3|3
BASE_REFILL|1|2|K,H4|2
BASE_REFILL|1|2|K,H5|3
BASE_REFILL|1|2|K,J|5
BASE_REFILL|1|2|K,K|3
BASE_REFILL|1|2|K,Q|1
BASE_REFILL|1|2|K,Scat|1
BASE_REFILL|1|2|K,T|1
BASE_REFILL|1|2|Q,A|2
BASE_REFILL|1|2|Q,H1|2
BASE_REFILL|1|2|Q,H2|2
BASE_REFILL|1|2|Q,H4|2
BASE_REFILL|1|2|Q,H5|4
BASE_REFILL|1|2|Q,J|2
BASE_REFILL|1|2|Q,K|3
BASE_REFILL|1|2|Q,Q|3
BASE_REFILL|1|2|Q,T|2
BASE_REFILL|1|2|Q,X4|1
BASE_REFILL|1|2|Scat,H1|1
BASE_REFILL|1|2|Scat,H4|1
BASE_REFILL|1|2|T,A|1
BASE_REFILL|1|2|T,H1|1
BASE_REFILL|1|2|T,H4|1
BASE_REFILL|1|2|T,H5|3
BASE_REFILL|1|2|T,K|1
BASE_REFILL|1|2|T,T|2
BASE_REFILL|1|2|T,X3|1
BASE_REFILL|1|2|X2,A|1
BASE_REFILL|1|2|X3,A|1
BASE_REFILL|1|2|X3,H1|1
BASE_REFILL|1|2|X4,H4|1
BASE_REFILL|1|2|X4,K|1
BASE_REFILL|1|2|X4,Q|1
BASE_REFILL|1|2|X4,T|1
BASE_REFILL|1|3|A,H1,A|1
BASE_REFILL|1|3|A,H4,H2|1
BASE_REFILL|1|3|A,H5,H3|1
BASE_REFILL|1|3|A,K,J|2
BASE_REFILL|1|3|A,Q,Q|1
BASE_REFILL|1|3|H1,H1,H5|1
BASE_REFILL|1|3|H1,H1,X3|1
BASE_REFILL|1|3|H1,H2,H2|1
BASE_REFILL|1|3|H1,H3,K|1
BASE_REFILL|1|3|H1,H4,H5|1
BASE_REFILL|1|3|H1,J,H2|1
BASE_REFILL|1|3|H1,J,J|1
BASE_REFILL|1|3|H1,J,T|1
BASE_REFILL|1|3|H1,K,H1|2
BASE_REFILL|1|3|H1,Q,H2|1
BASE_REFILL|1|3|H1,Q,J|1
BASE_REFILL|1|3|H1,T,A|1
BASE_REFILL|1|3|H2,A,A|1
BASE_REFILL|1|3|H2,A,T|1
BASE_REFILL|1|3|H2,H2,H5|1
BASE_REFILL|1|3|H2,H5,H1|2
BASE_REFILL|1|3|H2,H5,H5|1
BASE_REFILL|1|3|H2,K,J|1
BASE_REFILL|1|3|H2,Q,H2|1
BASE_REFILL|1|3|H2,Q,H5|1
BASE_REFILL|1|3|H2,Q,K|1
BASE_REFILL|1|3|H2,Q,T|1
BASE_REFILL|1|3|H2,T,H1|1
BASE_REFILL|1|3|H3,A,A|1
BASE_REFILL|1|3|H3,H1,H1|1
BASE_REFILL|1|3|H3,H1,H3|1
BASE_REFILL|1|3|H3,H1,H5|1
BASE_REFILL|1|3|H3,H2,H4|1
BASE_REFILL|1|3|H3,H3,H1|1
BASE_REFILL|1|3|H3,H3,H4|1
BASE_REFILL|1|3|H3,H5,H2|1
BASE_REFILL|1|3|H3,J,H1|1
BASE_REFILL|1|3|H3,J,H3|1
BASE_REFILL|1|3|H3,K,J|2
BASE_REFILL|1|3|H3,T,K|1
BASE_REFILL|1|3|H3,T,T|1
BASE_REFILL|1|3|H3,T,X2|1
BASE_REFILL|1|3|H4,A,H3|1
BASE_REFILL|1|3|H4,A,K|1
BASE_REFILL|1|3|H4,H1,H1|1
BASE_REFILL|1|3|H4,H1,T|1
BASE_REFILL|1|3|H4,H2,H4|1
BASE_REFILL|1|3|H4,H4,H3|2
BASE_REFILL|1|3|H4,H5,H5|1
BASE_REFILL|1|3|H4,H5,J|1
BASE_REFILL|1|3|H4,J,H3|1
BASE_REFILL|1|3|H4,K,T|1
BASE_REFILL|1|3|H4,X3,H1|1
BASE_REFILL|1|3|H5,A,T|1
BASE_REFILL|1|3|H5,H1,H5|1
BASE_REFILL|1|3|H5,H1,J|1
BASE_REFILL|1|3|H5,H2,A|1
BASE_REFILL|1|3|H5,H2,H4|1
BASE_REFILL|1|3|H5,H2,T|1
BASE_REFILL|1|3|H5,H3,H4|1
BASE_REFILL|1|3|H5,H5,H3|1
BASE_REFILL|1|3|H5,J,H2|1
BASE_REFILL|1|3|H5,J,Q|1
BASE_REFILL|1|3|H5,K,H3|1
BASE_REFILL|1|3|H5,K,H5|1
BASE_REFILL|1|3|H5,K,K|2
BASE_REFILL|1|3|H5,Q,A|1
BASE_REFILL|1|3|H5,Q,J|1
BASE_REFILL|1|3|H5,T,H4|1
BASE_REFILL|1|3|H5,T,H5|2
BASE_REFILL|1|3|J,H1,H5|1
BASE_REFILL|1|3|J,H2,J|1
BASE_REFILL|1|3|J,H2,K|1
BASE_REFILL|1|3|J,H3,A|1
BASE_REFILL|1|3|J,H3,H1|2
BASE_REFILL|1|3|J,H4,H5|1
BASE_REFILL|1|3|J,H5,H4|1
BASE_REFILL|1|3|J,Q,H1|1
BASE_REFILL|1|3|J,Q,H5|1
BASE_REFILL|1|3|J,Q,X3|1
BASE_REFILL|1|3|J,Scat,H1|1
BASE_REFILL|1|3|J,T,H3|2
BASE_REFILL|1|3|J,T,T|1
BASE_REFILL|1|3|K,H5,X3|1
BASE_REFILL|1|3|K,J,H2|1
BASE_REFILL|1|3|K,J,T|1
BASE_REFILL|1|3|K,K,X3|1
BASE_REFILL|1|3|Q,A,J|1
BASE_REFILL|1|3|Q,H2,H2|1
BASE_REFILL|1|3|Q,H3,H4|1
BASE_REFILL|1|3|Q,H4,H4|1
BASE_REFILL|1|3|Q,H4,H5|1
BASE_REFILL|1|3|Q,H5,H2|1
BASE_REFILL|1|3|Q,J,H1|1
BASE_REFILL|1|3|Q,Q,H5|1
BASE_REFILL|1|3|Q,T,H1|1
BASE_REFILL|1|3|Q,T,H4|1
BASE_REFILL|1|3|Q,T,K|1
BASE_REFILL|1|3|Q,T,Q|1
BASE_REFILL|1|3|Scat,H1,H2|1
BASE_REFILL|1|3|T,A,H1|1
BASE_REFILL|1|3|T,A,J|2
BASE_REFILL|1|3|T,H1,H3|1
BASE_REFILL|1|3|T,H1,H5|1
BASE_REFILL|1|3|T,H2,H1|1
BASE_REFILL|1|3|T,H2,J|1
BASE_REFILL|1|3|T,H3,H4|1
BASE_REFILL|1|3|T,H3,T|2
BASE_REFILL|1|3|T,H4,H4|1
BASE_REFILL|1|3|T,H4,T|1
BASE_REFILL|1|3|T,Q,H1|1
BASE_REFILL|1|3|T,Q,J|2
BASE_REFILL|1|3|T,Q,T|1
BASE_REFILL|1|3|T,Q,X4|1
BASE_REFILL|1|3|X4,H4,K|1
BASE_REFILL|1|3|X4,Q,H2|1
BASE_REFILL|1|4|A,A,J,H5|1
BASE_REFILL|1|4|A,K,K,A|1
BASE_REFILL|1|4|H1,H4,J,H5|1
BASE_REFILL|1|4|H1,H5,A,J|1
BASE_REFILL|1|4|H1,Scat,H2,K|1
BASE_REFILL|1|4|H2,A,K,H3|1
BASE_REFILL|1|4|H2,H3,H4,A|1
BASE_REFILL|1|4|H3,H2,H3,K|2
BASE_REFILL|1|4|H3,H2,Q,H1|1
BASE_REFILL|1|4|H3,H3,H2,H4|1
BASE_REFILL|1|4|H3,H3,T,H5|1
BASE_REFILL|1|4|H3,H4,H5,H2|1
BASE_REFILL|1|4|H3,H5,K,H2|1
BASE_REFILL|1|4|H3,J,H3,A|1
BASE_REFILL|1|4|H3,T,H1,A|1
BASE_REFILL|1|4|H3,T,J,K|1
BASE_REFILL|1|4|H4,A,H1,H5|1
BASE_REFILL|1|4|H4,H3,T,Q|1
BASE_REFILL|1|4|H4,H4,H1,H1|1
BASE_REFILL|1|4|H4,K,H5,H1|2
BASE_REFILL|1|4|H4,K,J,T|1
BASE_REFILL|1|4|H5,H4,A,J|1
BASE_REFILL|1|4|H5,H4,J,K|1
BASE_REFILL|1|4|H5,J,H5,H3|1
BASE_REFILL|1|4|J,A,K,H5|1
BASE_REFILL|1|4|J,H2,Q,H2|1
BASE_REFILL|1|4|J,H4,H5,K|1
BASE_REFILL|1|4|J,H5,J,H1|2
BASE_REFILL|1|4|J,H5,J,K|1
BASE_REFILL|1|4|K,H3,H1,H1|1
BASE_REFILL|1|4|K,H3,H3,H2|1
BASE_REFILL|1|4|K,H4,H4,H2|1
BASE_REFILL|1|4|Q,A,H5,X4|1
BASE_REFILL|1|4|Q,H1,K,H4|1
BASE_REFILL|1|4|Q,H2,Q,K|1
BASE_REFILL|1|4|Q,H3,H5,H5|2
BASE_REFILL|1|4|Q,J,X4,H2|1
BASE_REFILL|1|4|Q,X3,H2,H4|1
BASE_REFILL|1|4|T,H4,Q,A|1
BASE_REFILL|1|4|T,H5,J,H3|1
BASE_REFILL|1|4|T,K,H4,H2|1
BASE_REFILL|1|4|T,X3,Q,H2|1
BASE_REFILL|1|5|A,H2,X2,Scat,Q|1
BASE_REFILL|1|5|A,K,H5,A,H3|1
BASE_REFILL|1|5|A,Q,H4,A,K|1
BASE_REFILL|1|5|H1,H1,X3,A,Q|1
BASE_REFILL|1|5|H2,K,H2,Scat,J|1
BASE_REFILL|1|5|H3,Q,H5,K,H4|1
BASE_REFILL|1|5|H3,Q,T,H1,T|1
BASE_REFILL|1|5|H5,K,H3,H4,H5|1
BASE_REFILL|1|5|J,H2,T,Q,J|1
BASE_REFILL|1|5|J,H5,J,T,J|1
BASE_REFILL|1|5|K,H3,X4,A,H5|1
BASE_REFILL|1|5|Q,H3,H5,K,T|1
BASE_REFILL|1|5|Q,H4,J,H3,H3|1
BASE_REFILL|1|5|X3,T,H1,T,H2|1
BASE_REFILL|1|6|H1,K,H1,H5,Q,K|1
BASE_REFILL|1|6|H5,A,Q,H2,H1,H5|1
BASE_REFILL|1|6|H5,H5,A,A,H4,H4|1
BASE_REFILL|1|6|Q,H5,J,K,H5,J|2
BASE_REFILL|1|6|T,H5,H4,H4,H1,J|1
BASE_REFILL|2|1|A|27
BASE_REFILL|2|1|H1|30
BASE_REFILL|2|1|H2|24
BASE_REFILL|2|1|H3|25
BASE_REFILL|2|1|H4|28
BASE_REFILL|2|1|H5|29
BASE_REFILL|2|1|J|22
BASE_REFILL|2|1|K|28
BASE_REFILL|2|1|Q|32
BASE_REFILL|2|1|Scat|1
BASE_REFILL|2|1|T|24
BASE_REFILL|2|1|X2|1
BASE_REFILL|2|1|X4|8
BASE_REFILL|2|2|A,A|2
BASE_REFILL|2|2|A,H1|3
BASE_REFILL|2|2|A,H2|3
BASE_REFILL|2|2|A,H3|1
BASE_REFILL|2|2|A,H4|2
BASE_REFILL|2|2|A,H5|1
BASE_REFILL|2|2|A,J|1
BASE_REFILL|2|2|A,K|4
BASE_REFILL|2|2|A,Q|2
BASE_REFILL|2|2|A,T|2
BASE_REFILL|2|2|H1,A|1
BASE_REFILL|2|2|H1,H1|5
BASE_REFILL|2|2|H1,H3|1
BASE_REFILL|2|2|H1,H4|2
BASE_REFILL|2|2|H1,H5|1
BASE_REFILL|2|2|H1,J|2
BASE_REFILL|2|2|H1,K|2
BASE_REFILL|2|2|H1,Q|2
BASE_REFILL|2|2|H1,T|1
BASE_REFILL|2|2|H1,X2|1
BASE_REFILL|2|2|H1,X4|2
BASE_REFILL|2|2|H2,H1|3
BASE_REFILL|2|2|H2,H2|2
BASE_REFILL|2|2|H2,H3|1
BASE_REFILL|2|2|H2,H5|4
BASE_REFILL|2|2|H2,J|1
BASE_REFILL|2|2|H2,K|3
BASE_REFILL|2|2|H2,Q|4
BASE_REFILL|2|2|H2,T|2
BASE_REFILL|2|2|H2,X4|2
BASE_REFILL|2|2|H3,A|6
BASE_REFILL|2|2|H3,H1|2
BASE_REFILL|2|2|H3,H2|6
BASE_REFILL|2|2|H3,H3|3
